"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day","month"
"VNP46A3.A2015001.h00v01.001.2021125020822.h5","2021-05-05 02:18",985900,1620181133,4134013033,"3504999f169ffd6de73c95c3c37c7f32","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v01.001.2021125020822.h5",2015,"001","01"
"VNP46A3.A2015001.h00v02.001.2021124222804.h5","2021-05-04 22:42",7220089,1620168152,793011764,"70a7df33bd452a9c322a6801b1e72f56","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v02.001.2021124222804.h5",2015,"001","01"
"VNP46A3.A2015001.h00v03.001.2021124222758.h5","2021-05-04 22:38",941207,1620167912,2712815284,"c0d6e0b1ea5f9ad2bab317d56e20b5e6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v03.001.2021124222758.h5",2015,"001","01"
"VNP46A3.A2015001.h00v06.001.2021125083444.h5","2021-05-05 08:51",613523,1620204708,3743753408,"359b710051326ea4848fe19a1fd7d369","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v06.001.2021125083444.h5",2015,"001","01"
"VNP46A3.A2015001.h00v09.001.2021125055029.h5","2021-05-05 05:58",628475,1620194293,4067938508,"548e515feac3a8b24a0cf5c28788000f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v09.001.2021125055029.h5",2015,"001","01"
"VNP46A3.A2015001.h00v10.001.2021125083408.h5","2021-05-05 08:39",812182,1620203984,1210871771,"98f3ba18263b22bf323702374e6a48e8","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v10.001.2021125083408.h5",2015,"001","01"
"VNP46A3.A2015001.h00v11.001.2021125083618.h5","2021-05-05 08:57",653339,1620205038,976066554,"4559e6964fe0fb7484b883222918e3b1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v11.001.2021125083618.h5",2015,"001","01"
"VNP46A3.A2015001.h00v13.001.2021125091033.h5","2021-05-05 09:18",660805,1620206328,1112969976,"005451c3d81e5461c87a968dc4b1c99e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v13.001.2021125091033.h5",2015,"001","01"
"VNP46A3.A2015001.h00v14.001.2021125083523.h5","2021-05-05 08:51",608904,1620204708,2337222648,"63bd989f64ec6eacf58d4d07f0c7a557","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v14.001.2021125083523.h5",2015,"001","01"
"VNP46A3.A2015001.h00v15.001.2021125020829.h5","2021-05-05 02:21",608904,1620181313,589477668,"18ac98f21e087412181d39980086f9ed","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/001/VNP46A3.A2015001.h00v15.001.2021125020829.h5",2015,"001","01"
