"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day","month"
"VNP46A3.A2022001.h00v01.001.2022076204916.h5","2022-03-17 20:55",979404,1647550505,1804675851,"d054640211b93524e48bb6de16ff456c","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v01.001.2022076204916.h5",2022,"001","01"
"VNP46A3.A2022001.h00v02.001.2022076204917.h5","2022-03-17 20:55",6390677,1647550535,2688679348,"c3f6ee4fb8d0fee5d3fa4cfe0e9622f4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v02.001.2022076204917.h5",2022,"001","01"
"VNP46A3.A2022001.h00v03.001.2022076204917.h5","2022-03-17 20:55",974882,1647550505,1737687499,"264941390dec2ccf9a6130aa5c4ef1fb","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v03.001.2022076204917.h5",2022,"001","01"
"VNP46A3.A2022001.h00v06.001.2022076204919.h5","2022-03-17 20:55",614679,1647550535,727109600,"e4f0c29c42a619726e6d0b59ae87e98f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v06.001.2022076204919.h5",2022,"001","01"
"VNP46A3.A2022001.h00v09.001.2022076204920.h5","2022-03-17 20:56",630984,1647550565,2521949386,"48366aec426813bb90493d835eee5382","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v09.001.2022076204920.h5",2022,"001","01"
"VNP46A3.A2022001.h00v10.001.2022076204918.h5","2022-03-17 20:56",792058,1647550595,939105712,"b9d818e55d24d7a3a57865fc09d265bc","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v10.001.2022076204918.h5",2022,"001","01"
"VNP46A3.A2022001.h00v11.001.2022076204917.h5","2022-03-17 20:55",648778,1647550505,2129635886,"e46febb63c3a0b4348cf1b2d16a94a00","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v11.001.2022076204917.h5",2022,"001","01"
"VNP46A3.A2022001.h00v13.001.2022076204919.h5","2022-03-17 20:55",658862,1647550535,1047562992,"ae7662397fa0b430abd6026c2fafd7f7","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v13.001.2022076204919.h5",2022,"001","01"
"VNP46A3.A2022001.h00v14.001.2022076204920.h5","2022-03-17 20:53",610064,1647550415,1107484194,"1091715d9349efa62708ee3ca3c4f45a","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v14.001.2022076204920.h5",2022,"001","01"
"VNP46A3.A2022001.h00v15.001.2022076204920.h5","2022-03-17 20:53",610064,1647550415,3827270345,"dd4cda0b12be1fc935d7ff7757c5c2d6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h00v15.001.2022076204920.h5",2022,"001","01"
"VNP46A3.A2022001.h01v02.001.2022076205004.h5","2022-03-17 20:59",12692170,1647550745,2578014318,"11992997aa7e2fb5e47d28ca0f793aa2","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h01v02.001.2022076205004.h5",2022,"001","01"
"VNP46A3.A2022001.h01v03.001.2022076204958.h5","2022-03-17 21:01",3046129,1647550865,3175793224,"ef32884869419f44f6b9727442365cc3","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h01v03.001.2022076204958.h5",2022,"001","01"
"VNP46A3.A2022001.h01v06.001.2022076205004.h5","2022-03-17 20:58",620846,1647550685,2863438050,"708ad0c3ba662dd29188f43c7bfdea16","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h01v06.001.2022076205004.h5",2022,"001","01"
"VNP46A3.A2022001.h01v08.001.2022076205001.h5","2022-03-17 20:58",613849,1647550685,2215871770,"80e6c54be1ea56553ac2e0ffa51e2138","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h01v08.001.2022076205001.h5",2022,"001","01"
"VNP46A3.A2022001.h02v01.001.2022076204958.h5","2022-03-17 20:58",2481928,1647550685,313872341,"56c313a063406bbbe8f5bd7bc08c8108","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v01.001.2022076204958.h5",2022,"001","01"
"VNP46A3.A2022001.h02v02.001.2022076204956.h5","2022-03-17 21:00",24727042,1647550805,2767236572,"5b0362c1e9ceab20ebdaa0246efd85f4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v02.001.2022076204956.h5",2022,"001","01"
"VNP46A3.A2022001.h02v03.001.2022076205002.h5","2022-03-17 20:58",6043721,1647550716,2402392018,"7095ef74a827dcf8cefb98aa69f2f959","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v03.001.2022076205002.h5",2022,"001","01"
"VNP46A3.A2022001.h02v06.001.2022076205004.h5","2022-03-17 20:58",868971,1647550716,3414444506,"84e942a83e8ea59550f00b9f83d12b30","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v06.001.2022076205004.h5",2022,"001","01"
"VNP46A3.A2022001.h02v07.001.2022076205003.h5","2022-03-17 20:59",779073,1647550745,1959628028,"496cbbc490c0baaa1fef8c54ff194838","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v07.001.2022076205003.h5",2022,"001","01"
"VNP46A3.A2022001.h02v08.001.2022076205003.h5","2022-03-17 20:58",638254,1647550716,1478252975,"69d873a6d5d988b98a5068e5d28bfc1f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v08.001.2022076205003.h5",2022,"001","01"
"VNP46A3.A2022001.h02v10.001.2022076205003.h5","2022-03-17 20:58",663066,1647550685,4028496913,"b51e9e3d99242f1268cc1f4621f09d0f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h02v10.001.2022076205003.h5",2022,"001","01"
"VNP46A3.A2022001.h03v02.001.2022076204954.h5","2022-03-17 20:59",25037389,1647550745,3172862461,"d7cf46b7702d544e606e1217b2989879","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h03v02.001.2022076204954.h5",2022,"001","01"
"VNP46A3.A2022001.h03v03.001.2022076204956.h5","2022-03-17 20:58",812241,1647550685,1125237071,"5336bb284b445263d92c814d450d72d9","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h03v03.001.2022076204956.h5",2022,"001","01"
"VNP46A3.A2022001.h03v09.001.2022076204959.h5","2022-03-17 20:57",634365,1647550655,2195215617,"7baccd10d2ec01e3945001402d693b23","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/001/VNP46A3.A2022001.h03v09.001.2022076204959.h5",2022,"001","01"
