"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day"
"VNP46A4.A2012001.h00v00.001.2021124113641.h5","2021-05-04 12:02",617904,1620129760,2087842965,"1b9ea551bebf30e88caf4e23bc547e65","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v00.001.2021124113641.h5",2012,"001"
"VNP46A4.A2012001.h00v01.001.2022263123417.h5","2022-09-20 16:49",1239152,1663692578,796240288,"2e71e33a34453b5cef9465eec3970dbf","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v01.001.2022263123417.h5",2012,"001"
"VNP46A4.A2012001.h00v02.001.2021124113826.h5","2021-05-04 19:01",9514212,1620154863,263846750,"6020e69a8bd826d3b68bc8607036baab","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v02.001.2021124113826.h5",2012,"001"
"VNP46A4.A2012001.h00v03.001.2021124113938.h5","2021-05-04 20:39",1098998,1620160742,1353409754,"714f5bfa3c5073c7a73287cf070dc8b7","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v03.001.2021124113938.h5",2012,"001"
"VNP46A4.A2012001.h00v04.001.2021124114240.h5","2021-05-04 17:33",633832,1620149583,2164741368,"a836011802df6b219523c3d3384338b6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v04.001.2021124114240.h5",2012,"001"
"VNP46A4.A2012001.h00v05.001.2021124114241.h5","2021-05-04 17:35",633832,1620149703,1568909152,"827c4dd12b238fe72acec7198d7b0bc1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v05.001.2021124114241.h5",2012,"001"
"VNP46A4.A2012001.h00v06.001.2021124114230.h5","2021-05-04 20:40",642343,1620160832,3858655407,"9d207ace903803e4021c7535cfbab242","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v06.001.2021124114230.h5",2012,"001"
"VNP46A4.A2012001.h00v07.001.2021124114121.h5","2021-05-04 17:30",633696,1620149434,1097464223,"300b2ea89855d4464d769dc47f4b7862","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v07.001.2021124114121.h5",2012,"001"
"VNP46A4.A2012001.h00v08.001.2021124114135.h5","2021-05-04 17:29",635471,1620149343,1893892973,"4f06f8b3c60ac0552161c6e622ec2c4d","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v08.001.2021124114135.h5",2012,"001"
"VNP46A4.A2012001.h00v09.001.2021124114240.h5","2021-05-04 21:34",665219,1620164042,3835379911,"3c334551cca74854903494c8654c52de","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v09.001.2021124114240.h5",2012,"001"
"VNP46A4.A2012001.h00v10.001.2021124114327.h5","2021-05-04 20:51",927394,1620161462,3287778648,"4820246cae1f2da96c5157f1bd71ad1f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v10.001.2021124114327.h5",2012,"001"
"VNP46A4.A2012001.h00v11.001.2021124114316.h5","2021-05-04 21:04",689586,1620162242,2671745668,"aea891927848f19b84ff9a9e3bb12773","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v11.001.2021124114316.h5",2012,"001"
"VNP46A4.A2012001.h00v12.001.2021124181209.h5","2021-05-04 23:51",633696,1620172292,474398297,"208a61b87bb4207aeefa10983bcadb3c","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v12.001.2021124181209.h5",2012,"001"
"VNP46A4.A2012001.h00v13.001.2021124123155.h5","2021-05-04 21:36",701698,1620164192,4197030622,"d713dcc98b10b7b96cb82a094e800392","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v13.001.2021124123155.h5",2012,"001"
"VNP46A4.A2012001.h00v14.001.2021124123132.h5","2021-05-04 21:23",636712,1620163382,611719602,"d0f5af07b750dc73f3425a3267daebd7","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v14.001.2021124123132.h5",2012,"001"
"VNP46A4.A2012001.h00v15.001.2021124175417.h5","2021-05-05 02:23",636808,1620181433,3802118651,"ef9ad074b978b12b00371af37c20ed05","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v15.001.2021124175417.h5",2012,"001"
"VNP46A4.A2012001.h00v16.001.2022263123526.h5","2022-09-20 16:45",769742,1663692338,679882882,"76709935c6907637bde0c6aedd13169a","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v16.001.2022263123526.h5",2012,"001"
"VNP46A4.A2012001.h00v17.001.2022263123405.h5","2022-09-20 13:06",2285919,1663679191,1242957356,"5b88e98a73e01c5ba451dc1960922023","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h00v17.001.2022263123405.h5",2012,"001"
"VNP46A4.A2012001.h01v00.001.2021124113707.h5","2021-05-04 12:10",617856,1620130240,583054544,"7c8e2653bc0e7965f316d849a948ff66","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v00.001.2021124113707.h5",2012,"001"
"VNP46A4.A2012001.h01v01.001.2021124174928.h5","2021-05-04 19:34",1029744,1620156854,4132166424,"1b5027e1344c4a91fa67eb1e14a78af6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v01.001.2021124174928.h5",2012,"001"
"VNP46A4.A2012001.h01v02.001.2021124150642.h5","2021-05-04 22:46",18388011,1620168392,2472027805,"3c3777c37817dbd2f88f5b72ae7429b6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v02.001.2021124150642.h5",2012,"001"
"VNP46A4.A2012001.h01v03.001.2021124174338.h5","2021-05-05 02:13",3781766,1620180833,752884727,"106977c5f422014798c2ce261f1d17a8","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v03.001.2021124174338.h5",2012,"001"
"VNP46A4.A2012001.h01v04.001.2021124180450.h5","2021-05-04 23:44",633832,1620171873,1639274060,"01d3ed82ae98920e93d63dc3a72ef573","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v04.001.2021124180450.h5",2012,"001"
"VNP46A4.A2012001.h01v05.001.2021124175124.h5","2021-05-04 23:21",634426,1620170462,1227841267,"b878bbccfe2404082dd7c957a3d25aa0","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v05.001.2021124175124.h5",2012,"001"
