"name","last_modified","size","year","month_day_start"
"VNP46A3.A2012001.h00v01.001.2021124111531.h5","2021-05-04 11:18",883072,2012,"001"
"VNP46A3.A2012001.h00v02.001.2021124111458.h5","2021-05-04 11:18",5117845,2012,"001"
"VNP46A3.A2012001.h00v03.001.2021124111503.h5","2021-05-04 11:18",837450,2012,"001"
"VNP46A3.A2012001.h00v04.001.2021124111520.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h00v05.001.2021124111510.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h00v06.001.2021124111507.h5","2021-05-04 11:18",610997,2012,"001"
"VNP46A3.A2012001.h00v07.001.2021124111531.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h00v08.001.2021124111526.h5","2021-05-04 11:18",608810,2012,"001"
"VNP46A3.A2012001.h00v09.001.2021124111533.h5","2021-05-04 11:19",630200,2012,"001"
"VNP46A3.A2012001.h00v10.001.2021124111540.h5","2021-05-04 11:18",727855,2012,"001"
"VNP46A3.A2012001.h00v11.001.2021124111457.h5","2021-05-04 11:18",631749,2012,"001"
"VNP46A3.A2012001.h00v12.001.2021124111532.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h00v13.001.2021124111503.h5","2021-05-04 11:18",642884,2012,"001"
"VNP46A3.A2012001.h00v14.001.2021124111452.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h00v15.001.2021124111447.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h01v01.001.2021124111531.h5","2021-05-04 11:18",833063,2012,"001"
"VNP46A3.A2012001.h01v02.001.2021124111520.h5","2021-05-04 11:19",8897256,2012,"001"
"VNP46A3.A2012001.h01v03.001.2021124111507.h5","2021-05-04 11:18",2346085,2012,"001"
"VNP46A3.A2012001.h01v04.001.2021124111517.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h01v05.001.2021124111508.h5","2021-05-04 11:18",607910,2012,"001"
"VNP46A3.A2012001.h01v06.001.2021124111532.h5","2021-05-04 11:19",615413,2012,"001"
"VNP46A3.A2012001.h01v07.001.2021124111534.h5","2021-05-04 11:19",610180,2012,"001"
"VNP46A3.A2012001.h01v08.001.2021124111506.h5","2021-05-04 11:18",611015,2012,"001"
"VNP46A3.A2012001.h01v09.001.2021124111508.h5","2021-05-04 11:18",607931,2012,"001"
"VNP46A3.A2012001.h01v10.001.2021124111535.h5","2021-05-04 11:18",627897,2012,"001"
"VNP46A3.A2012001.h01v11.001.2021124111524.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h01v12.001.2021124111457.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h01v13.001.2021124111518.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h01v14.001.2021124111456.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h01v15.001.2021124111510.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h02v01.001.2021124111526.h5","2021-05-04 11:18",2134448,2012,"001"
"VNP46A3.A2012001.h02v02.001.2021124111529.h5","2021-05-04 11:19",17112018,2012,"001"
"VNP46A3.A2012001.h02v03.001.2021124111522.h5","2021-05-04 11:18",5316563,2012,"001"
"VNP46A3.A2012001.h02v04.001.2021124111532.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h02v05.001.2021124111526.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h02v06.001.2021124111516.h5","2021-05-04 11:18",842398,2012,"001"
"VNP46A3.A2012001.h02v07.001.2021124111528.h5","2021-05-04 11:18",738553,2012,"001"
"VNP46A3.A2012001.h02v08.001.2021124111524.h5","2021-05-04 11:18",631932,2012,"001"
"VNP46A3.A2012001.h02v09.001.2021124111519.h5","2021-05-04 11:18",620235,2012,"001"
"VNP46A3.A2012001.h02v10.001.2021124111511.h5","2021-05-04 11:18",660303,2012,"001"
"VNP46A3.A2012001.h02v11.001.2021124111508.h5","2021-05-04 11:18",622303,2012,"001"
"VNP46A3.A2012001.h02v12.001.2021124111507.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h02v13.001.2021124111502.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h02v14.001.2021124111459.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h02v15.001.2021124111511.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h03v01.001.2021124111529.h5","2021-05-04 11:18",1072963,2012,"001"
"VNP46A3.A2012001.h03v02.001.2021124111504.h5","2021-05-04 11:19",17749228,2012,"001"
"VNP46A3.A2012001.h03v03.001.2021124111523.h5","2021-05-04 11:18",765977,2012,"001"
"VNP46A3.A2012001.h03v04.001.2021124113357.h5","2021-05-04 11:37",607288,2012,"001"
"VNP46A3.A2012001.h03v05.001.2021124113356.h5","2021-05-04 11:37",607288,2012,"001"
"VNP46A3.A2012001.h03v06.001.2021124113357.h5","2021-05-04 11:37",607288,2012,"001"
"VNP46A3.A2012001.h03v07.001.2021124111518.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h03v08.001.2021124111516.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h03v09.001.2021124111532.h5","2021-05-04 11:18",628136,2012,"001"
"VNP46A3.A2012001.h03v10.001.2021124111534.h5","2021-05-04 11:18",900868,2012,"001"
"VNP46A3.A2012001.h03v11.001.2021124111538.h5","2021-05-04 11:19",623934,2012,"001"
"VNP46A3.A2012001.h03v12.001.2021124111533.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h03v13.001.2021124111506.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h03v14.001.2021124111529.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h03v15.001.2021124111455.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v01.001.2021124111532.h5","2021-05-04 11:18",657760,2012,"001"
"VNP46A3.A2012001.h04v02.001.2021124111521.h5","2021-05-04 11:19",18435149,2012,"001"
"VNP46A3.A2012001.h04v03.001.2021124111515.h5","2021-05-04 11:18",6094783,2012,"001"
"VNP46A3.A2012001.h04v04.001.2021124111536.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v05.001.2021124111526.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v06.001.2021124111500.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h04v07.001.2021124111534.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v08.001.2021124111518.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v09.001.2021124111527.h5","2021-05-04 11:19",628013,2012,"001"
"VNP46A3.A2012001.h04v10.001.2021124111531.h5","2021-05-04 11:19",626711,2012,"001"
"VNP46A3.A2012001.h04v11.001.2021124111503.h5","2021-05-04 11:18",647243,2012,"001"
"VNP46A3.A2012001.h04v12.001.2021124111539.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h04v13.001.2021124111530.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v14.001.2021124111526.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h04v15.001.2021124111512.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h05v01.001.2021124111513.h5","2021-05-04 11:18",3612309,2012,"001"
"VNP46A3.A2012001.h05v02.001.2021124111511.h5","2021-05-04 11:20",17789286,2012,"001"
"VNP46A3.A2012001.h05v03.001.2021124111518.h5","2021-05-04 11:19",14891864,2012,"001"
